Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5329.79781214848,4917.1211552976,4640.85663610523,4190.32388933263,3845.70681830187,4039.34042394134,4596.48615766945,5061.33499468298,5331.41743967857,5795.65223965525,6238.09862731186,6697.15436370369,7361.72161495105,8482.92020586886,9636.89112345633,10994.5981274448,12320.0240249058,13886.1314098697,14034.1911206837,15339.0999026403,16563.2014078209,18114.7508606708,19014.0529737698,19037.8847440186,18133.5313085883,17832.4778855815,18413.747563367,20025.9815543598,22301.5932411839,24872.3066744528,27611.1801135157,28429.4948814534,30834.1773660201,33006.4166677827
Belarus,BLR,Gini index,SI.POV.GINI,..,..,21.6,..,28.7,..,..,32,31.7,31.2,30.6,30.3,28.8,26.5,27.6,28.3,29.6,27.8,27.7,28.6,27.2,26.5,26.6,27.2,25.6,25.3,25.4,25.2,25.3,24.4,..,..,..,..
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,..,..,4013091682.2914,4123011419.74174,4502970889.06373,4786018988.16491,5154420649.23354,5674080542.88575,5756912265.75809,5686579747.53524,6250218422.70164,7370119619.4782,9876595528.45528,12148595031.0559,14109491356.7964,17025671810.3124,22450264166.4385,24342935403.5447,19633984440.1223,19524355419.038,23303915794.7569,23237406116.3988,25451032780.7573,27055689003.0038,23311847750.9394,24561027787.7896,27469461919.1189,31222632740.7247,31873748770.0313,31820771493.8974,37204563051.4723,38376046174.971,41291245222.1948,42764929169.3258
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,2685.90889287357,2819.12612100926,3134.38975345407,3380.92630243199,3682.95230146695,4093.39247738765,4140.93660232167,4070.60902410208,4502.66614992392,5343.18310760735,7205.40703313243,8916.0728274602,10414.6381183565,12641.4800976473,16745.4308011148,18205.9064113446,14712.4494217916,14663.7041018705,17555.5455239426,17568.2137969714,19310.3874900757,20581.7898991695,17722.1557669523,18666.3736521706,20851.5223496861,23618.1361254581,24021.2501413306,23933.9939421065,27953.7670230126,28451.1477825175,30133.304450454,31170.0915091887
Estonia,EST,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7146.26055574846,5867.94387227387,5809.85535887514,5962.61470597632,6475.40136185006,6889.29880886621,7977.91655116702,8450.51937523685,8412.06677647343,9422.49706491914,10309.9978807426,11666.6649638489,13136.7185083193,14539.9710841117,16638.0779749397,19348.3868589782,22201.3543849265,22803.5194742273,20478.2524752833,21616.7122418461,24652.3610297918,26242.5282659014,27831.1526234213,29403.6584494815,29720.5911161676,31947.7769107437,34506.6486942506,37120.9879761677,40586.3784378888,40672.1340402132,44251.5374983455,47802.0073086125,46790.2700170266,49333.8067758296
Estonia,EST,Gini index,SI.POV.GINI,..,..,39.4,..,30.1,..,..,37.6,..,35.8,36,35.8,37.2,33.6,33.4,33.7,31.2,31.9,31.4,32,32.5,32.9,35.1,34.6,32.7,31.2,30.4,30.3,30.8,30.7,31.8,32.3,..,..
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,6324503311.25828,3690328963.64086,2701181331.30816,2513867645.13316,2693732611.81599,3094936177.1918,3510520231.21387,3613497316.55319,2800025882.71672,3057475335.18846,3219462262.0075,3395766677.67315,3991377904.13162,5125365191.98664,6410912049.87105,7745250733.95067,10172931088.5655,12795145130.9103,10766920065.8251,12426907967.1578,15475290469.2869,16894392033.2256,17517660143.6859,17966015109.3043,15223796148.8396,15444548901.9637,16473125375.0684,17902544880.6471,17638337116.9126,16010869215.68,18853115588.8106,24984568959.605,30777833600.6515,33776141250.5716
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1307.82342713006,757.223548505358,550.015542609224,519.815578814965,578.336923460866,689.034634153312,807.032285752352,851.515542450841,673.537782887275,749.908534993961,801.98383707929,853.526171868939,1010.03151630868,1305.04748557208,1642.78359414797,1996.02013272284,2635.36650276116,3324.7537205015,2822.68939668797,3281.72930937343,4119.66818307193,4530.69533409431,4712.00229382665,4830.33486170249,4086.6223465965,4143.40125686315,4418.75206546679,4804.0546040444,4741.2832715876,4300.85701291207,5083.60695484577,6729.84659930283,8283.66960652261,9193.66366361489
Georgia,GEO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4726.62231011804,2643.1783620022,1898.37119622324,1764.24469895173,1918.76988598651,2253.09523341327,2615.64621072521,2795.39447706365,2976.85797333062,3161.19582490118,3440.72817931982,3718.68693255545,4239.93841372799,4634.77757594477,5271.95095261655,5980.44390488226,6951.08584266081,7278.66312193993,7119.14279081978,7711.80683889487,8563.83554915647,10059.9820603954,10797.3423273476,11770.6989360253,12269.6528932768,13065.294157468,13718.9378669764,15021.9057577433,16770.1333771469,16791.2598654465,18915.6534005263,22461.3326414547,25071.9677264107,28417.7518669146
Georgia,GEO,Gini index,SI.POV.GINI,..,..,..,..,..,37.1,40.7,41.2,40.1,40.5,39.6,37.2,36.6,36.2,37.4,36.9,38.1,38.5,38.2,39.5,39.6,39,38.6,37.6,36.5,36.6,37.9,36.4,35.9,34.5,34.2,33.5,34.8,..
